date,equity,cash,holding,shares,weekly_target
2025-01-24,22768.704058668201,2.304058668200,IRBR3,459,IRBR3
2025-01-27,23227.704058668201,2.304058668200,IRBR3,459,IRBR3
2025-01-28,24104.394058668200,2.304058668200,IRBR3,459,IRBR3
2025-01-29,24122.754058668197,2.304058668200,IRBR3,459,IRBR3
2025-01-30,24994.854058668203,2.304058668200,IRBR3,459,IRBR3
2025-01-31,24283.404058668199,2.304058668200,IRBR3,459,IRBR3
2025-02-03,24158.479895043576,37.939895043575,BBSE3,618,BBSE3
2025-02-04,24133.759895043575,37.939895043575,BBSE3,618,BBSE3
2025-02-05,24306.799895043576,37.939895043575,BBSE3,618,BBSE3
2025-02-06,24591.079895043575,37.939895043575,BBSE3,618,BBSE3
2025-02-07,24325.339895043573,37.939895043575,BBSE3,618,BBSE3
2025-02-10,24541.639895043576,37.939895043575,BBSE3,618,BBSE3
2025-02-11,24170.839895043573,37.939895043575,BBSE3,618,BBSE3
2025-02-12,24214.099895043575,37.939895043575,BBSE3,618,BBSE3
2025-02-13,23824.759895043575,37.939895043575,BBSE3,618,BBSE3
2025-02-14,24065.779895043575,37.939895043575,BBSE3,618,BBSE3
2025-02-17,24301.884020258825,11.604020258827,BBAS3,833,BBAS3
2025-02-18,24543.454020258825,11.604020258827,BBAS3,833,BBAS3
2025-02-19,24051.984020258828,11.604020258827,BBAS3,833,BBAS3
2025-02-20,23335.604020258826,11.604020258827,BBAS3,833,BBAS3
2025-02-21,23318.944020258827,11.604020258827,BBAS3,833,BBAS3
2025-02-24,23343.241240953081,15.141240953079,SANB11,887,SANB11
2025-02-25,23511.771240953076,15.141240953079,SANB11,887,SANB11
2025-02-26,23556.121240953078,15.141240953079,SANB11,887,SANB11
2025-02-27,23316.631240953076,15.141240953079,SANB11,887,SANB11
2025-02-28,22358.671240953081,15.141240953079,SANB11,887,SANB11
2025-03-05,23445.696852321958,4.096852321955,HYPE3,1196,HYPE3
2025-03-06,23529.416852321960,4.096852321955,HYPE3,1196,HYPE3
2025-03-07,23373.936852321956,4.096852321955,HYPE3,1196,HYPE3
2025-03-10,24964.834797835476,2.691940692622,MGLU3,3177,MGLU3
2025-03-11,25116.120512121193,2.691940692622,MGLU3,3177,MGLU3
2025-03-12,25963.320512121190,2.691940692622,MGLU3,3177,MGLU3
2025-03-13,25600.234797835477,2.691940692622,MGLU3,3177,MGLU3
2025-03-14,29049.549083549762,2.691940692622,MGLU3,3177,MGLU3
2025-03-17,29252.114179304052,8.764179304051,ABEV3,2155,ABEV3
2025-03-18,29209.014179304049,8.764179304051,ABEV3,2155,ABEV3
2025-03-19,29489.164179304047,8.764179304051,ABEV3,2155,ABEV3
2025-03-20,29316.764179304049,8.764179304051,ABEV3,2155,ABEV3
2025-03-21,29596.914179304051,8.764179304051,ABEV3,2155,ABEV3
2025-03-24,29187.464179304046,8.764179304051,ABEV3,2155,ABEV3
2025-03-25,29316.764179304049,8.764179304051,ABEV3,2155,ABEV3
2025-03-26,28842.664179304051,8.764179304051,ABEV3,2155,ABEV3
2025-03-27,29015.064179304052,8.764179304051,ABEV3,2155,ABEV3
2025-03-28,28950.414179304047,8.764179304051,ABEV3,2155,ABEV3
2025-03-31,27841.196068003708,1.196068003707,MGLU3,2880,MGLU3
2025-04-01,28664.053210860846,1.196068003707,MGLU3,2880,MGLU3
2025-04-02,30693.767496575136,1.196068003707,MGLU3,2880,MGLU3
2025-04-03,32366.910353718002,1.196068003707,MGLU3,2880,MGLU3
2025-04-04,29706.338925146556,1.196068003707,MGLU3,2880,MGLU3
2025-04-07,28376.440816039423,2.140816039423,EGIE3,1017,EGIE3
